trait,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,time
current,0.3899,8.6402,4.3172,0.0,1.3796,1.376,2.5956,0.3376,2022-10-17 12:21:40.324000+00:00
current,0.4096,8.8206,4.0147,0.2836,1.7731,1.2252,2.7562,0.3541,2022-10-17 12:21:42.215000+00:00
current,0.0834,8.7754,4.2673,0.4009,2.2981,1.2499,2.3594,0.3172,2022-10-17 12:21:44.106000+00:00
current,0.072,7.9222,4.6662,0.2379,1.8219,1.4866,1.6315,0.3956,2022-10-17 12:21:45.997000+00:00
current,0.6066,7.0186,5.5876,0.7036,1.6638,1.481,2.1866,0.5673,2022-10-17 12:21:47.888000+00:00
current,0.0,7.469,7.5149,0.7749,1.3035,0.8316,2.3129,0.5867,2022-10-17 12:21:49.779000+00:00
current,0.2658,5.8403,7.4293,0.4012,1.3968,1.132,1.9117,0.733,2022-10-17 12:21:51.670000+00:00
current,0.5026,4.4362,5.5861,0.5374,0.8843,1.3378,1.404,0.7006,2022-10-17 12:21:53.561000+00:00
current,0.3315,6.1483,4.5179,0.9048,1.362,0.3416,1.61,0.5253,2022-10-17 12:21:55.452000+00:00
current,0.0,6.8288,4.674,0.1668,1.0738,0.803,2.1472,0.4935,2022-10-17 12:21:57.343000+00:00
current,0.0,4.6058,6.4326,0.6418,0.603,1.051,2.585,0.6937,2022-10-17 12:21:59.234000+00:00
current,0.0,3.101,7.0322,1.0979,0.9143,1.1594,2.9278,0.5987,2022-10-17 12:22:01.125000+00:00
current,0.1731,0.0,5.674,1.302,0.4828,0.9526,3.2104,0.5166,2022-10-17 12:22:03.016000+00:00
current,0.3195,1.987,4.7453,1.2703,0.5692,0.8088,2.8364,0.5574,2022-10-17 12:22:04.907000+00:00
current,1.1811,3.5088,4.3498,1.356,1.1965,0.5874,2.2911,0.5295,2022-10-17 12:22:06.798000+00:00
current,1.106,1.9739,4.4448,1.0138,1.6452,0.2963,1.4947,0.4612,2022-10-17 12:22:08.689000+00:00
current,0.6762,3.4334,4.1044,0.7276,2.1267,0.0,2.1031,0.4065,2022-10-17 12:22:10.580000+00:00
current,0.845,6.9298,3.058,1.2822,1.9376,0.0,2.2815,0.4223,2022-10-17 12:22:12.471000+00:00
current,1.0158,4.3166,2.2662,1.0835,1.8722,0.0,1.9332,0.3751,2022-10-17 12:22:14.362000+00:00
current,1.6957,3.475,2.3876,0.9549,2.0638,0.0,1.9591,0.2561,2022-10-17 12:22:16.253000+00:00
current,2.0655,1.1715,2.8452,1.2312,1.8719,0.161,1.7161,0.1447,2022-10-17 12:22:18.144000+00:00
current,2.1774,3.1996,1.8043,0.5417,2.1139,0.322,1.707,0.2368,2022-10-17 12:22:20.035000+00:00
current,2.7893,3.3179,2.4577,0.4009,1.4186,0.7116,2.0706,0.3146,2022-10-17 12:22:21.926000+00:00
current,2.1148,2.9308,4.882,0.3098,1.403,0.8497,2.6869,0.4125,2022-10-17 12:22:23.817000+00:00
current,1.7614,3.6045,5.0867,0.4094,1.9792,1.0398,2.5925,0.4561,2022-10-17 12:22:25.708000+00:00
current,1.3108,2.9292,5.3525,0.6921,1.7754,0.9661,2.2239,0.509,2022-10-17 12:22:27.599000+00:00
current,1.1533,2.5752,3.5703,0.7133,1.7684,0.66,1.6777,0.562,2022-10-17 12:22:29.490000+00:00
current,0.5556,3.3619,4.5579,0.7707,2.8061,0.9319,1.6915,0.57,2022-10-17 12:22:31.381000+00:00
current,0.9471,2.6239,3.8289,0.3025,2.3856,0.658,0.7156,0.6271,2022-10-17 12:22:33.272000+00:00
current,0.9033,2.1904,5.2008,0.0,2.2539,1.1439,0.3051,0.6453,2022-10-17 12:22:35.163000+00:00
current,0.2872,2.3108,7.3339,0.0,1.3057,0.1978,0.2693,0.5238,2022-10-17 12:22:37.054000+00:00
current,0.0,2.8242,6.2071,0.0,1.5243,0.0661,0.0921,0.6104,2022-10-17 12:22:38.945000+00:00
current,0.247,4.1202,5.2307,0.0,1.8417,0.0,0.8941,0.5175,2022-10-17 12:22:40.836000+00:00
current,0.7631,5.2564,5.8016,0.0,2.0978,0.0,0.5547,0.4542,2022-10-17 12:22:42.727000+00:00
current,1.7628,2.8755,4.0988,0.0,2.8613,0.2677,1.244,0.4632,2022-10-17 12:22:44.618000+00:00
current,3.0862,5.4839,4.2497,0.1341,3.0002,0.6898,1.2959,0.4672,2022-10-17 12:22:46.509000+00:00
current,3.1227,5.6274,3.908,0.4399,2.8294,1.1561,1.3508,0.5245,2022-10-17 12:22:48.400000+00:00
current,2.5069,5.1179,3.8573,0.4572,3.0631,1.5243,1.2227,0.564,2022-10-17 12:22:50.291000+00:00
current,1.4249,3.7248,1.4272,0.6503,2.6916,1.6715,1.2642,0.4777,2022-10-17 12:22:52.182000+00:00
current,1.5597,7.1981,2.3461,0.4953,2.8759,2.0093,1.6188,0.3716,2022-10-17 12:22:54.073000+00:00
current,1.1818,10.9299,5.5712,0.35,4.1166,1.4989,1.8131,0.3904,2022-10-17 12:22:55.964000+00:00
current,1.0253,13.4817,4.9436,0.0,4.8409,1.5065,1.4467,0.441,2022-10-17 12:22:57.855000+00:00
current,0.7937,12.9272,3.1188,0.0,5.2924,1.658,1.8788,0.4074,2022-10-17 12:22:59.746000+00:00
current,0.8029,12.792,4.2287,0.0,5.1106,0.7528,1.2591,0.4413,2022-10-17 12:23:01.637000+00:00
current,1.3686,14.5446,3.1771,0.0,4.3473,1.1105,1.868,0.4282,2022-10-17 12:23:03.528000+00:00
current,1.4579,13.2919,3.3357,0.0,3.9035,1.0507,1.7766,0.3967,2022-10-17 12:23:05.419000+00:00
current,1.3925,13.4425,2.5687,0.0,4.769,0.6269,1.857,0.4399,2022-10-17 12:23:07.310000+00:00
current,0.9284,13.0648,0.9941,0.0,4.3581,1.557,2.1515,0.4287,2022-10-17 12:23:09.201000+00:00
current,0.2155,15.4891,1.7154,0.0,4.6661,1.7013,2.0279,0.3989,2022-10-17 12:23:11.092000+00:00
current,0.1229,16.8825,1.1349,0.0,3.9467,1.6115,3.0419,0.4207,2022-10-17 12:23:12.983000+00:00
current,0.2394,15.564,0.0,0.0,3.9211,1.8213,1.9883,0.3186,2022-10-17 12:23:14.874000+00:00
current,1.1858,17.095,0.3435,0.0,3.9925,1.75,2.7298,0.288,2022-10-17 12:23:16.765000+00:00
current,1.281,15.9744,4.2785,0.0,3.4523,1.3243,2.8217,0.2734,2022-10-17 12:23:18.656000+00:00
current,1.7605,14.0803,5.5398,0.0,2.6765,0.8709,2.7391,0.2464,2022-10-17 12:23:20.547000+00:00
current,1.5074,12.8012,5.3771,0.0,2.259,0.901,3.0346,0.2109,2022-10-17 12:23:22.438000+00:00
current,0.9629,12.3572,9.0064,0.0,2.6402,1.3544,1.9224,0.2491,2022-10-17 12:23:24.329000+00:00
current,0.5744,10.4338,6.3839,0.0,3.2194,1.3863,1.9722,0.3159,2022-10-17 12:23:26.220000+00:00
current,0.3355,9.1398,6.8914,0.0,2.76,1.1032,1.5461,0.2808,2022-10-17 12:23:28.111000+00:00
current,1.4388,6.4623,8.8934,0.0,2.2861,0.5136,0.879,0.3502,2022-10-17 12:23:30.002000+00:00
current,1.0691,5.0673,7.1912,0.0,1.7429,0.31,1.1101,0.3947,2022-10-17 12:23:31.893000+00:00
current,1.5032,5.539,7.2815,0.0,2.3041,0.6318,1.1991,0.4563,2022-10-17 12:23:33.784000+00:00
current,1.0893,7.2834,6.2174,0.0,1.968,1.2162,1.6165,0.2373,2022-10-17 12:23:35.675000+00:00
current,1.5644,8.6439,5.6172,0.0,1.2187,1.1114,2.1415,0.3459,2022-10-17 12:23:37.566000+00:00
current,1.7394,9.0771,5.9986,0.2904,1.1421,1.0906,2.1182,0.4161,2022-10-17 12:23:39.457000+00:00
current,1.6467,6.2656,3.6684,0.3513,0.8434,1.0896,1.4823,0.4909,2022-10-17 12:23:41.348000+00:00
current,1.6168,4.8273,2.5035,0.2554,1.5812,0.9664,1.174,0.4757,2022-10-17 12:23:43.239000+00:00
current,1.3062,4.6171,2.7388,0.653,1.9725,1.3258,0.7805,0.5954,2022-10-17 12:23:45.130000+00:00
current,1.5353,6.324,0.7468,1.0863,2.0642,0.8816,0.7522,0.6774,2022-10-17 12:23:47.021000+00:00
current,1.3252,5.3768,0.6584,0.6615,2.703,1.2638,0.2918,0.5137,2022-10-17 12:23:48.912000+00:00
current,0.7801,3.4411,0.0,1.0511,2.6935,1.4002,0.678,0.4065,2022-10-17 12:23:50.803000+00:00
current,0.2654,6.0589,0.0,0.8924,2.4443,1.5127,1.0485,0.3858,2022-10-17 12:23:52.694000+00:00
current,0.4722,4.8473,0.0,0.8817,1.9675,1.5294,1.7341,0.4576,2022-10-17 12:23:54.585000+00:00
current,1.308,3.1147,0.2612,1.2455,1.7647,1.7933,1.1388,0.3766,2022-10-17 12:23:56.476000+00:00
current,1.4047,3.7699,0.4058,0.9589,1.0371,1.6409,0.6081,0.4087,2022-10-17 12:23:58.367000+00:00
current,1.3631,3.9063,0.2625,1.3639,1.7352,1.6033,0.8421,0.4985,2022-10-17 12:24:00.258000+00:00
current,1.5124,3.2936,1.0615,0.9143,1.4127,1.7467,0.0831,0.5328,2022-10-17 12:24:02.149000+00:00
current,2.1181,3.5601,0.8065,0.9553,0.7038,1.8478,1.0578,0.614,2022-10-17 12:24:04.040000+00:00
current,2.1612,2.2862,0.2383,0.4583,1.2943,1.8973,0.9345,0.6603,2022-10-17 12:24:05.931000+00:00
current,1.9089,1.8168,1.9393,0.3835,1.2738,1.4358,0.8222,0.6907,2022-10-17 12:24:07.822000+00:00
current,2.3827,2.1713,1.4271,0.8229,0.414,1.7435,1.0549,0.6304,2022-10-17 12:24:09.713000+00:00
current,2.4961,0.0,3.3715,0.2138,0.0,1.5689,0.7393,0.5382,2022-10-17 12:24:11.604000+00:00
current,3.1095,1.4562,2.7913,0.0,0.0,1.5503,0.8133,0.5337,2022-10-17 12:24:13.495000+00:00
current,3.0368,0.0,3.8734,0.2303,0.0,2.0684,0.8201,0.5465,2022-10-17 12:24:15.386000+00:00
current,2.3211,0.0,4.2402,0.1407,0.0,1.9995,0.3212,0.5175,2022-10-17 12:24:17.277000+00:00
current,1.6106,1.1109,4.9455,0.1457,0.0,2.7421,0.1526,0.4583,2022-10-17 12:24:19.168000+00:00
current,2.3658,2.5254,5.2461,0.5087,0.0,2.7282,0.0,0.3313,2022-10-17 12:24:21.059000+00:00
current,3.0791,3.0108,6.0374,0.8124,0.0,2.8156,0.0849,0.1854,2022-10-17 12:24:22.950000+00:00
current,2.8419,0.5135,7.6606,0.4001,0.0,3.1478,0.4935,0.2207,2022-10-17 12:24:24.841000+00:00
current,2.5343,0.0676,6.251,0.4492,0.0,2.6022,0.1148,0.2705,2022-10-17 12:24:26.732000+00:00
current,3.1096,0.3028,7.8947,0.5488,0.0,2.4049,0.9031,0.1272,2022-10-17 12:24:28.623000+00:00
current,2.4408,0.6332,7.178,0.5541,0.0753,1.9009,1.3644,0.1954,2022-10-17 12:24:30.514000+00:00
current,1.937,3.0303,4.6723,0.3668,0.2836,2.4339,1.0092,0.1145,2022-10-17 12:24:32.405000+00:00
current,2.1941,6.5815,5.4845,0.5722,0.0,2.0777,0.6688,0.1533,2022-10-17 12:24:34.296000+00:00
current,1.946,7.5233,6.3944,0.4291,0.0,2.343,0.0,0.1152,2022-10-17 12:24:36.187000+00:00
current,1.9027,6.4929,6.8114,0.5488,0.0,2.5633,0.0,0.1352,2022-10-17 12:24:38.078000+00:00
current,1.7905,8.4234,6.1521,0.595,0.0,1.832,0.0,0.1786,2022-10-17 12:24:39.969000+00:00
current,1.921,7.2128,4.8218,0.7984,0.0,1.8513,0.1365,0.1226,2022-10-17 12:24:41.860000+00:00
current,2.5327,2.7993,4.1279,0.2364,0.4618,1.9916,0.2234,0.0501,2022-10-17 12:24:43.751000+00:00
current,2.4749,1.0726,4.3581,0.391,1.0909,1.9099,0.4751,0.0,2022-10-17 12:24:45.642000+00:00
current,2.6785,0.0,4.0231,0.9881,0.5321,1.1117,0.5644,0.297,2022-10-17 12:24:47.533000+00:00
current,1.6172,0.0,2.7759,1.4018,0.3972,1.1019,0.0,0.3982,2022-10-17 12:24:49.424000+00:00
current,1.5866,0.0,2.6182,1.1602,0.0,1.4043,0.0,0.3378,2022-10-17 12:24:51.315000+00:00
current,1.192,0.0,1.773,1.2854,0.4536,1.359,0.0,0.371,2022-10-17 12:24:53.206000+00:00
current,0.6634,0.0,1.2087,1.1048,0.7285,1.3104,0.0,0.2556,2022-10-17 12:24:55.097000+00:00
current,0.345,0.0,2.4215,0.8678,1.4635,2.0193,0.0659,0.4056,2022-10-17 12:24:56.988000+00:00
current,0.3097,0.0,1.1572,0.9633,1.2206,2.2128,0.4888,0.2691,2022-10-17 12:24:58.879000+00:00
current,0.8555,0.0,1.8845,0.9033,1.0669,2.1517,0.7655,0.2891,2022-10-17 12:25:00.770000+00:00
current,0.3108,0.0,1.4699,0.2454,0.9144,1.5741,1.29,0.2115,2022-10-17 12:25:02.661000+00:00
current,0.4475,0.0,2.0938,0.6676,1.2118,1.5663,1.3381,0.1945,2022-10-17 12:25:04.552000+00:00
current,0.3327,2.394,1.1852,0.8629,1.442,1.2456,0.5992,0.2024,2022-10-17 12:25:06.443000+00:00
current,0.3017,2.0066,1.2334,1.1923,0.8993,1.2605,0.6323,0.3218,2022-10-17 12:25:08.334000+00:00
current,0.8883,5.9054,0.4907,1.3939,0.1207,1.2172,0.633,0.32,2022-10-17 12:25:10.225000+00:00
current,1.2017,5.9142,1.2369,1.7674,0.1632,1.6444,0.8838,0.3911,2022-10-17 12:25:12.116000+00:00
current,1.853,5.0544,0.0,1.8805,0.0,1.6473,1.3627,0.3075,2022-10-17 12:25:14.007000+00:00
current,1.7499,9.0804,0.0,1.4241,0.0,2.0657,1.1158,0.2293,2022-10-17 12:25:15.898000+00:00
current,1.407,5.7795,0.0,1.0036,0.1068,2.0001,1.6051,0.2436,2022-10-17 12:25:17.789000+00:00
current,1.3165,4.8936,0.0,0.8679,0.0,2.0644,1.3884,0.2992,2022-10-17 12:25:19.680000+00:00
current,1.4505,2.2786,0.0,0.5932,0.0,2.2342,2.0304,0.2982,2022-10-17 12:25:21.571000+00:00
current,1.5406,0.0,0.0,0.0,0.0,2.2195,2.1053,0.3795,2022-10-17 12:25:23.462000+00:00
current,1.0392,0.0,0.0,0.0,0.8783,2.2857,2.358,0.4112,2022-10-17 12:25:25.353000+00:00
current,1.1307,0.0,0.0,0.166,0.6591,2.272,2.4153,0.3641,2022-10-17 12:25:27.244000+00:00
current,1.2767,0.0,0.0,0.0,1.0254,1.9039,2.0504,0.3559,2022-10-17 12:25:29.135000+00:00
current,2.4656,0.0,0.0,0.1029,0.4084,2.5228,2.0954,0.4232,2022-10-17 12:25:31.026000+00:00
current,3.2397,0.0681,0.0,0.0,1.2102,2.6873,1.4623,0.4584,2022-10-17 12:25:32.917000+00:00
current,2.6752,1.4136,0.0,0.0488,1.1517,2.3963,1.8423,0.2645,2022-10-17 12:25:34.808000+00:00
